empresa;tipoVenda;clienteCodigo;nomeCliente;dataVenda;numeroNF;statusNF;qtdVenda;valorVenda;valorCusto
TRADESIS;SERVICO;;;01/01/2019;;Emitida;1;16450.50;0
TRADESIS;SERVICO;;;01/02/2019;;Emitida;1;12242.00;0
TRADESIS;SERVICO;;;01/03/2019;;Emitida;1;16949.00;0
TRADESIS;SERVICO;;;01/04/2019;;Emitida;1;40827.00;0
TRADESIS;SERVICO;;;01/05/2019;;Emitida;1;24495.90;0
TRADESIS;SERVICO;;;01/06/2019;;Emitida;1;13605.60;0
TRADESIS;SERVICO;;;01/07/2019;;Emitida;1;16492.75;0
TRADESIS;SERVICO;;;01/08/2019;;Emitida;1;39557.38;0
TRADESIS;SERVICO;;;01/09/2019;;Emitida;1;21385.98;0
TRADESIS;SERVICO;;;01/10/2019;;Emitida;1;11465.26;0
TRADESIS;SERVICO;;;01/11/2019;;Emitida;1;38292.00;0
TRADESIS;SERVICO;;;01/12/2019;;Emitida;1;29233.00;0
TRADESIS;SERVICO;;;01/01/2020;;Emitida;1;23133.00;0
TRADESIS;SERVICO;;;01/02/2020;;Emitida;1;35493.00;0
TRADESIS;SERVICO;;;01/03/2020;;Emitida;1;43210.00;0
TRADESIS;SERVICO;;;01/04/2020;;Emitida;1;16000.00;0
TRADESIS;SERVICO;;;01/05/2020;;Emitida;1;22720.00;0
TRADESIS;SERVICO;;;01/06/2020;;Emitida;1;11440.00;0
TRADESIS;SERVICO;;;01/07/2020;;Emitida;1;24054.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;15/07/2020;202000000000022;Emitida;1;1040.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;03/08/2020;202000000000023;Emitida;1;11440.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;11/08/2020;202000000000024;Cancelada;1;1940.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;11/08/2020;202000000000025;Emitida;1;1940.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;17/08/2020;202000000000026;Emitida;1;11440.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;24/08/2020;202000000000027;Emitida;1;7840.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;01/09/2020;202000000000028;Emitida;1;11440.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;04/09/2020;202000000000029;Emitida;1;8120.00;0
TRADESIS;SERVICO;26756842000161;LEBES COBRANCAS LTDA;02/10/2020;202000000000031;Emitida;1;8470.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;02/10/2020;202000000000032;Emitida;1;8000.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;21/10/2020;202000000000033;Emitida;1;9230.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;03/11/2020;202000000000034;Emitida;1;8000.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;01/12/2020;202000000000035;Emitida;1;8000.00;0
TRADESIS;SERVICO;26756842000161;LEBES COBRANCAS LTDA;01/12/2020;202000000000036;Emitida;1;3780.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;07/12/2020;202000000000037;Emitida;1;9800.00;0
TRADESIS;SERVICO;96662168000131;DREBES & CIA LTDA;07/12/2020;202000000000038;Emitida;1;1400.00;0
TRADESIS;SERVICO;11271860000186;LEBES FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENT;09/12/2020;202000000000039;Emitida;1;2730.00;0
